Classifier,Accuracy,F1_Macro,F1_Weighted,Training_Time_Seconds
Random Forest,0.7495,0.5420688362524251,0.7438779402586978,3.8346457481384277
Extra Trees,0.73465,0.5392948273766568,0.7324148773983264,0.8123502731323242
LightGBM,0.70505,0.5194251721274598,0.7199416851508958,1.3697240352630615
Decision Tree,0.63625,0.4276738990140927,0.6495278588336497,2.4568614959716797
SGD,0.6845,0.41736582945477824,0.6908913082602232,0.6303417682647705
Logistic Regression,0.55765,0.39241888224323707,0.613088999166019,5.457863092422485
Naive Bayes,0.4916,0.3366258585259758,0.4582254010674068,0.059918880462646484
